chapter_id,title,char_count,file_path
1,第一回　甄士隐梦幻识通灵　贾雨村风尘怀闺秀,8195,raw/chapters/001.txt
2,第二回　　贾夫人仙逝扬州城　冷子兴演说荣国府,6253,raw/chapters/002.txt
3,第三回　贾雨村夤缘复旧职　林黛玉抛父进京都,8918,raw/chapters/003.txt
4,第四回　薄命女偏逢薄命郎　葫芦僧乱判葫芦案,6240,raw/chapters/004.txt
5,第五回　游幻境指迷十二钗　饮仙醪曲演红楼梦,7870,raw/chapters/005.txt
6,第六回　贾宝玉初试云雨情　刘姥姥一进荣国府,7449,raw/chapters/006.txt
7,第七回　送宫花贾琏戏熙凤　宴宁府宝玉会秦钟,7498,raw/chapters/007.txt
8,第八回　比通灵金莺微露意　探宝钗黛玉半含酸,6860,raw/chapters/008.txt
9,第九回　恋风流情友入家塾　起嫌疑顽童闹学堂,5882,raw/chapters/009.txt
10,第十回　金寡妇贪利权受辱　张太医论病细穷源,5295,raw/chapters/010.txt
11,第十一回　庆寿辰宁府排家宴　见熙凤贾瑞起淫心,6116,raw/chapters/011.txt
12,第十二回　 王熙凤毒设相思局　贾天祥正照风月鉴,4463,raw/chapters/012.txt
13,第十三回　　　　秦可卿死封龙禁尉　王熙凤协理宁国府,5367,raw/chapters/013.txt
14,第十四回　　林如海捐馆扬州城　贾宝玉路谒北静王,5822,raw/chapters/014.txt
15,第十五回　 王凤姐弄权铁槛寺　秦鲸卿得趣馒头庵,5254,raw/chapters/015.txt
16,第十六回　　贾元春才选凤藻宫　秦鲸卿夭逝黄泉路,7848,raw/chapters/016.txt
17,第十七回　 大观园试才题对额　荣国府归省庆元宵,8079,raw/chapters/017.txt
18,第十八回　　隔珠帘父女勉忠勤　搦湘管姊弟裁题咏,8856,raw/chapters/018.txt
19,第十九回　　情切切良宵花解语　意绵绵静日玉生香,9647,raw/chapters/019.txt
20,第二十回　　 王熙凤正言弹妒意　林黛玉俏语谑娇音,5605,raw/chapters/020.txt
21,第二十一回　　　　贤袭人娇嗔箴宝玉　俏平儿软语救贾琏,6381,raw/chapters/021.txt
22,第二十二回　　听曲文宝玉悟禅机　制灯迷贾政悲谶语,7379,raw/chapters/022.txt
23,第二十三回　　西厢记妙词通戏语　牡丹亭艳曲警芳心,5765,raw/chapters/023.txt
24,第二十四回　　 醉金刚轻财尚义侠　痴女儿遗帕惹相思,8941,raw/chapters/024.txt
25,第二十五回　 魇魔法姊弟逢五鬼　红楼梦通灵遇双真,8579,raw/chapters/025.txt
26,第二十六回　　蜂腰桥设言传心事　潇湘馆春困发幽情,7736,raw/chapters/026.txt
27,第二十七回　 滴翠亭杨妃戏彩蝶　埋香冢飞燕泣残红,6778,raw/chapters/027.txt
28,第二十八回　 蒋玉菡情赠茜香罗　薛宝钗羞笼红麝串,10075,raw/chapters/028.txt
29,第二十九回　 享福人福深还祷福　痴情女情重愈斟情,9108,raw/chapters/029.txt
30,第三十回　 宝钗借扇机带双敲　龄官划蔷痴及局外,6111,raw/chapters/030.txt
31,第三十一回　 撕扇子作千金一笑　因麒麟伏白首双星　话,7568,raw/chapters/031.txt
32,第三十二回　　诉肺腑心迷活宝玉　含耻辱情烈死金钏,6183,raw/chapters/032.txt
33,第三十三回　 手足耽耽小动唇舌　不肖种种大承笞挞　却,5113,raw/chapters/033.txt
